Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price,Owned,Captained
1114209,4665262,Bacuna,Juninho,CUW,gameweek_off,midfielder,5,0.04,0.00
1114209,4665264,Noslin,Tyrese,CUW,gameweek_off,midfielder,4.5,0.00,0.00
1114209,4665266,Floranus,Sherel,CUW,gameweek_off,defender,4,0.04,0.00
1114209,4665267,Fonville,Deveron,CUW,gameweek_off,defender,4,0.01,0.00
1114209,4665268,Bacuna,Leandro,CUW,gameweek_off,midfielder,5,0.04,0.00
1114209,4665269,Roemeratoe,Godfried,CUW,gameweek_off,midfielder,4.5,0.00,0.00
1114209,4665270,Margaritha,Jearl,CUW,gameweek_off,midfielder,5,0.01,0.00
1114209,4665271,van Eijma,Roshon,CUW,gameweek_off,defender,4,0.00,0.00
1114209,4665272,Room,Eloy,CUW,gameweek_off,goalkeeper,4,0.70,0.00
1114209,4665273,Hansen,Sontje,CUW,gameweek_off,midfielder,5,0.00,0.00
1114209,4665274,Bazoer,Riechedly,CUW,gameweek_off,defender,4,0.00,0.00
1114209,4665276,Brenet,Joshua,CUW,gameweek_off,defender,4,0.01,0.00
1114209,4665277,Gaari,Jurien,CUW,gameweek_off,defender,4,0.03,0.00
1114209,4665278,Gorre,Kenji,CUW,gameweek_off,midfielder,5.5,0.00,0.00
1114209,4665279,Kastaneer,Gervane,CUW,gameweek_off,forward,5.5,0.15,0.00
1114209,4665280,Chong,Tahith,CUW,gameweek_off,midfielder,5,0.11,0.00
1114209,4665281,Locadia,Jurgen,CUW,gameweek_off,forward,4.5,4.90,0.00
1114209,4665282,Kovar,Matej,CZE,gameweek_off,goalkeeper,4.5,0.82,0.00
1114209,4665283,Hornicek,Lukas,CZE,gameweek_off,goalkeeper,4,0.03,0.00
1114209,4665285,Krejci,Ladislav,CZE,gameweek_off,defender,5,1.27,0.01
1114209,4665286,Coufal,Vladimir,CZE,gameweek_off,defender,5,0.93,0.00
1114209,4665287,Zeleny,Jaroslav,CZE,gameweek_off,defender,4.5,0.02,0.00
1114209,4665288,Holes,Tomas,CZE,gameweek_off,defender,4.5,0.04,0.00
1114209,4665289,Hranac,Robin,CZE,gameweek_off,defender,4.5,0.21,0.00
1114209,4665291,Chaloupek,Stepan,CZE,gameweek_off,defender,4,2.37,0.00
1114209,4665292,Jurasek,David,CZE,gameweek_off,defender,4,3.18,0.00
1114209,4665293,Zima,David,CZE,gameweek_off,defender,4,0.02,0.00
1114209,4665295,Sulc,Pavel,CZE,gameweek_off,midfielder,6.5,1.08,0.00
1114209,4665296,Soucek,Tomas,CZE,gameweek_off,midfielder,6,0.49,0.01
1114209,4665298,Sadilek,Michal,CZE,gameweek_off,midfielder,4.5,0.42,0.00
1114209,4665299,Provod,Lukas,CZE,gameweek_off,midfielder,5,0.19,0.00
1114209,4665300,Cerv,Lukas,CZE,gameweek_off,midfielder,5.5,0.00,0.00
1114209,4665301,Doudera,David,CZE,gameweek_off,midfielder,5.5,0.01,0.00
1114209,4665303,Darida,Vladimir,CZE,gameweek_off,midfielder,4.5,0.19,0.00
1114209,4665306,Schick,Patrik,CZE,gameweek_off,forward,7.5,1.05,0.01
1114209,4665307,Chytil,Mojmir,CZE,gameweek_off,forward,6,0.02,0.00
1114209,4665308,Chory,Tomas,CZE,gameweek_off,forward,7,0.01,0.00
1114209,4665309,Kuchta,Jan,CZE,gameweek_off,forward,5,0.01,0.00
1114209,4665312,Galindez ,Hernan,ECU,expected,goalkeeper,5,5.86,0.01
1114209,4665313,Valle ,Gonzalo,ECU,unexpected,goalkeeper,4.5,0.01,0.00
1114209,4665315,Ordonez,Joel,ECU,expected,defender,5,1.03,0.01
1114209,4665316,Ramirez,Moises,ECU,unexpected,goalkeeper,4.5,0.01,0.00
1114209,4665317,Hincapie,Piero,ECU,expected,defender,5,6.29,0.01
1114209,4665318,Torres,Felix,ECU,unexpected,defender,5,0.04,0.00
