Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1126770,4666188,Zeneli,Besfort,SWE,unexpected,midfielder,3.5
1126770,4666189,Karlstrom,Jesper,SWE,expected,midfielder,3.7
1126770,4666192,Elanga,Anthony,SWE,expected,midfielder,5
1126770,4666194,Nygren,Benjamin,SWE,possible,midfielder,4.6
1126770,4666195,Bernardsson,Alexander,SWE,expected,midfielder,4.3
1126770,4666198,Isak,Alexander,SWE,expected,forward,5.5
1126770,4666199,Gyokeres,Victor,SWE,expected,forward,5.4
1126770,4666200,Nilsson,Gustaf,SWE,unexpected,forward,4.5
1126770,4666297,Ream,Tim,USA,expected,defender,11.5
1126770,4666298,Scally,Joe,USA,unexpected,defender,11.1
1126770,4666299,Robinson,Miles,USA,unexpected,defender,11.2
1126770,4666300,Freese,Matt,USA,expected,goalkeeper,12.2
1126770,4666301,Richards,Chris,USA,expected,defender,11.6
1126770,4666303,Turner,Matt,USA,unexpected,goalkeeper,12.1
1126770,4666304,McKenzie,Mark,USA,unexpected,defender,11.3
1126770,4666305,Robinson,Antonee,USA,expected,defender,11.7
1126770,4666306,Balogun,Folarin,USA,expected,forward,13.9
1126770,4666307,McKennie,Weston,USA,expected,midfielder,13.1
1126770,4666310,Pepi,Ricardo,USA,possible,forward,12.5
1126770,4666311,Tillman,Malik,USA,expected,midfielder,13.4
1126770,4666312,Freeman,Alex,USA,expected,defender,12
1126770,4666314,Berhalter,Sebastian,USA,possible,midfielder,13
1126770,4666315,Adams,Tyler,USA,expected,midfielder,11.3
1126770,4666316,Arfsten,Max,USA,unexpected,midfielder,11.5
1126770,4666318,Wright,Haji,USA,unexpected,forward,12.3
1126770,4666321,Aaronson,Brenden,USA,unexpected,midfielder,12.1
1126770,4666322,Trusty,Auston,USA,unexpected,defender,11.4
1126770,4666326,Pulisic,Christian,USA,expected,midfielder,13.3
1126770,4666329,Roldan,Cristian,USA,unexpected,midfielder,11.1
1126770,4666330,Weah,Timothy,USA,unexpected,midfielder,11.8
1126770,4666331,Reyna,Giovanni,USA,unexpected,midfielder,12.8
1126770,4675933,Hadzikadunic,Dennis,BIH,unexpected,defender,3.8
1126770,4675934,Mahmic,Ermin,BIH,possible,midfielder,4.9
1126770,4677068,Widell Zetterstrom,Jacob,SWE,unexpected,goalkeeper,4
1126770,4677069,Smith,Eric,SWE,unexpected,defender,2.8
1126770,4677070,Stroud,Elliot,SWE,expected,midfielder,3.6
1126770,4677071,Svanberg,Mattias,SWE,unexpected,midfielder,3.9
1126770,4677072,Ali,Taha,SWE,unexpected,midfielder,4
1126770,4680510,Risser,Robin,FRA,unexpected,goalkeeper,11.6
1126770,4680511,Penders,Mike,BEL,unexpected,goalkeeper,8.9
1126770,4680512,Moreira,Diego,BEL,unexpected,midfielder,8.2
1126770,4680513,Fernandez-Pardo,Matias,BEL,unexpected,forward,8.4
1126770,4680520,Guiagon,Parfait,CIV,unexpected,midfielder,5.7
1126770,4680521,Bonny,Ange-Yoan,CIV,expected,forward,7.5
1126770,4682331,Nmecha,Felix,GER,expected,midfielder,13.4
1126770,4682332,Amiri,Nadiem,GER,unexpected,midfielder,10.5
1126770,4682333,Leweling,Jamie,GER,unexpected,midfielder,12.1
1126770,4682334,Neuer,Manuel,GER,expected,goalkeeper,11.7
1126770,4684646,Tangvik,Sander,NOR,unexpected,goalkeeper,8.6
1126770,4684647,Langas,Sondre,NOR,unexpected,defender,7.9
1126770,4684648,Falchener,Henrik,NOR,unexpected,defender,8
1126770,4684649,Aursnes,Fredrik,NOR,expected,midfielder,8.2
1126770,4684650,Toney,Ivan,ENG,unexpected,forward,12.5
1126770,4684651,Spence,Djed,ENG,expected,defender,12.2
1126770,4684652,Quansah ,Jarell,ENG,possible,defender,12.1
